id,name,country,lat,lon
1687164,Sariaya,PH,13.96444,121.529999
1687167,Saraza,PH,8.73556,117.779999
1687186,Sarangani,PH,5.40333,125.463608
1687196,Sara,PH,11.2579,123.013802
1687203,Sapu Padidu,PH,5.91722,125.266937
1687206,Sapol,PH,13.365,121.189301
1687238,Sapian,PH,11.4943,122.602699
1687275,Sapang Dalaga,PH,8.5399,123.562401
1687291,Sapang Buho,PH,15.59167,121.122223
1687302,Sapang,PH,15.7032,120.524498
1687321,Sapadun,PH,7.48333,124.25
1687322,Sapad,PH,7.85,123.833328
1687343,Sapa,PH,5.1544,120.324097
1687383,San Vicente,PH,17.596939,120.373611
1687446,San Vincente,PH,13.4068,121.175003
1687513,Santo Tomas,PH,17.399719,121.764549
1687564,Santo Rosario,PH,15.6447,120.861198
1687599,Santor,PH,14.09549,121.108742
1687614,Santo Niño,PH,17.886101,121.569099
1687665,Santa Nino,PH,10.689,123.788399
1687685,Santol,PH,16.771999,120.460403
1687713,Santo Domingo,PH,17.635281,120.410828
1687752,Santo Cristo,PH,15.33836,120.59333
1687777,Santa Angel,PH,11.3068,122.6408
1687780,Santisimo Rosario,PH,13.995,121.30806
1687800,Santiago,PH,17.2939,120.444901
1687836,City of Santiago,PH,16.73333,121.5
1687838,San Teodoro,PH,13.4375,121.019302
1687847,Santa Teresita,PH,18.2472,121.912697
1687855,Santa Teresa First,PH,14.9253,120.556999
1687860,Santa Teresa,PH,12.25186,121.112511
1687868,Santa Rosa Sur,PH,14.259,122.723297
1687874,Hacienda Santa Rosa,PH,10.57226,123.101196
1687888,Santa Rosa,PH,15.4238,120.937798
1687915,City of Santa Rosa,PH,14.28333,121.099998
1687929,Santa Rita,PH,15.6175,120.860802
1687956,Santa Praxedes,PH,18.566669,121.0
1687960,Santa Paz,PH,10.26667,124.783333
1687965,Santander Poblacion,PH,9.4156,123.329102
1687976,Santa Monica,PH,15.35786,120.717529
1688012,Santa Maria,PH,18.149481,121.661247
1688066,Santa Margarita,PH,12.03778,124.657784
1688069,Santa Marcela,PH,18.283331,121.433327
1688072,Santa Magdalena,PH,12.648,124.109299
1688074,Santa Lutgarda,PH,14.9063,120.696404
1688081,Santa Lucia,PH,17.1175,120.453056
1688115,Santa Justina,PH,13.3967,123.473099
1688118,Santa Juliana,PH,15.32826,120.428627
1688119,Santa Josefa,PH,7.99111,126.029999
1688136,Santa Ines West,PH,15.564,120.465599
1688145,Santa Ignacia,PH,15.6169,120.435799
1688154,Santa Filomena,PH,9.75181,123.344627
1688161,Santa Fe,PH,16.1595,120.938103
1688185,Santa Elena,PH,14.17023,122.382462
1688216,Santa Cruz,PH,14.6,120.98333
